Date,Open,High,Low,Close,Vol
20200721,1709.62,1710,1629,1705.82,342284555
20200722,1791.07,1791,1791,1791.07,30962425
20200725,1880.54,1881,1881,1880.54,217850225
20200726,1974.23,1974,1974,1974.23,218843738
20200727,2072.56,2073,2073,2072.56,232735041
20200728,2074.25,2176,1969,2048.51,364029625
20200729,2048.51,2151,1946,2100.84,163424246
20200801,2205.5,2205,2205,2205.5,36288543
20200802,2315.65,2316,2316,2315.65,175168898
20200803,2431.28,2431,2279,2427.06,416087090
20200804,2481.5,2548,2306,2519.06,249360663
20200805,2644.83,2645,2532,2644.83,48644941
20200811,2603.89,2777,2513,2611.06,81865872
20200812,2480.66,2532,2481,2480.66,82876368
20200816,2080.58,2110,1977,2045.97,157905712
20200817,2148.1,2148,2148,2148.1,69196712
20200818,2236.73,2237,2041,2108.01,447696113
20200819,2002.93,2003,2003,2002.93,15613250
20200822,2042.6,2103,1903,1937.94,215861599
20200823,1841.29,1841,1841,1841.29,18592465
20200824,1749.29,1933,1749,1749.29,383256564
20200825,1749.29,1837,1662,1813.02,213486652
20200826,1903.33,1903,1899,1903.33,134915099
20200831,1941.31,1988,1808,1851,556622272
20200901,1785.16,1785,1759,1764.48,46937158
20200902,1676.28,1676,1676,1676.28,74602931
20200905,1692.32,1729,1593,1610.02,496542900
20200906,1641.67,1684,1530,1567.4,267054307
20201117,1264.73,1328,1264,1287.41,411159311
20201118,1351.52,1352,1352,1351.52,56267546
20201121,1418.68,1419,1308,1399.49,771462399
20201122,1338.87,1426,1330,1357.19,433440514
20201123,1346.72,1396,1309,1334.08,277954297
20201124,1308.35,1330,1268,1276.07,266630535
20201125,1212.4,1264,1212,1220.25,580476143
20201128,1186.23,1265,1164,1227.66,347582228
20201129,1256.01,1289,1234,1285.67,302799409
20201130,1338.87,1350,1289,1324.05,320673802
20201201,1307.91,1334,1265,1291.34,273536019
20201202,1269.97,1329,1234,1278.25,263163399
20201205,1228.54,1307,1227,1273.02,209139260
20201206,1314.45,1336,1291,1334.08,321281867
20201207,1351.96,1380,1268,1322.3,265682547
20201208,1286.54,1315,1260,1280.43,142262237
20201209,1271.28,1290,1237,1259.06,185583661
20201212,1269.1,1295,1237,1259.5,219716268
20201213,1225.48,1242,1203,1218.51,172058561
20201214,1203.68,1242,1158,1184.05,143671067
20201215,1125.18,1138,1125,1125.18,57453535
20201216,1068.92,1110,1069,1073.72,262984313
20201219,1091.16,1127,1058,1111.66,158396868
20201220,1160.07,1162,1071,1105.99,150678155
20201221,1077.2,1105,1051,1066.74,153705270
20201222,1046.68,1082,1031,1051.47,189573781
20201223,1067.17,1074,1010,1037.08,146849658
20201226,1021.38,1021,986,992.16,205214212
20201227,959.45,1041,957,1026.18,255347189
20201228,1054.96,1077,1029,1071.97,161233223
20201229,1106.86,1107,1019,1031.85,158716968
20201230,1008.3,1021,980,990.42,138861717
20210102,952.48,990,941,946.37,137406283
20210103,915.41,973,904,928.49,144441347
20210104,928.49,959,912,931.11,129011606
20210105,909.74,919,885,890.98,114024113
20210106,872.23,881,846,855.66,170578376
20210109,832.98,866,813,822.95,158623627
20210110,837.34,864,837,861.33,108017563
20210111,904.07,904,879,901.45,256613082
20210112,904.5,905,857,866.12,150796175
20210113,873.54,909,834,897.53,341581540
20210116,915.41,927,853,865.25,166887857
20210118,828.62,850,822,824.26,72432081
20210119,785.01,865,785,843.01,180429072
20210120,871.79,885,850,882.26,60696166
20210123,926.31,926,926,926.31,34497631
20210124,972.54,973,908,955.53,330596592
20210125,937.65,1003,908,985.62,268035495
20210126,998.7,1015,936,957.71,163879661
20210127,924.56,986,910,942.45,304243085
20210130,989.55,990,990,989.55,18473461
20210131,1038.83,1039,1014,1037.52,429564887
20210201,1023.13,1085,994,1037.52,210377524
20210202,1011.79,1025,986,991.73,175805472
20210203,976.9,1014,942,952.04,83781296
20210206,915.84,940,905,905.81,65783014
20210207,911.92,951,912,942.88,57077056
20210208,989.98,990,922,971.23,172698757
20210209,972.1,1003,946,987.36,113360634
20210213,1034.47,1046,1003,1032.72,153792372
20210214,1046.68,1056,1012,1020.51,124108923
20210215,1000.45,1012,1000,1000.88,84606104
20210216,981.26,990,981,981.26,19900187
20210217,961.63,966,962,961.63,41221372
20210220,942.45,946,942,942.45,32370901
20210221,923.69,924,924,923.69,23233536
20210222,905.38,905,905,905.38,23141626
20210223,887.49,920,887,894.04,142028013
20210224,899.71,912,876,881.39,47803576
20210227,863.94,864,864,863.94,26315405
20210228,846.94,847,847,846.94,23941477
20210301,830.36,848,830,831.67,151916980
20210302,832.98,855,815,824.26,102568321
20210303,819.9,835,808,808.99,69942639
20210306,799.84,809,793,793.73,84608480
20210307,786.32,816,786,800.71,62449725
20210308,813.79,849,805,836.91,104224537
20210309,849.55,881,821,842.14,71209319
20210310,825.57,837,826,826.87,65668566
20210313,812.05,845,811,828.62,79966436
20210314,829.93,845,812,824.26,106986423
20210328,883.08,902,875,885.4,132706197
20210330,891.59,911,868,890.82,83528311
20210331,890.04,897,873,875.34,55736485
20210403,859.86,875,858,859.09,50815394
20210404,842.83,851,842,842.06,51135743
20210405,826.58,888,827,861.41,92404593
20210406,889.27,892,859,871.47,59639336
20210407,857.54,870,854,855.22,59532104
20210410,839.74,851,838,838.19,42237904
20210411,821.94,843,822,826.58,56988489
20210412,832,863,827,842.83,56375222
20210413,893.14,893,892,893.14,90845853
20210414,909.39,944,894,918.68,191383929
20210417,905.52,915,901,901.65,46491308
20210418,883.85,886,884,883.85,38771819
20210419,866.83,906,867,879.98,101184710
20210420,907.07,933,882,913.26,114390251
20210421,899.33,921,886,895.46,61346390
20210424,876.89,894,869,873.02,54241498
20210425,850.57,866,847,849.02,54012140
20210426,832,898,832,871.47,70973945
20210427,884.63,921,877,900.11,75735506
20210428,901.65,925,878,900.11,45301053
20210501,893.91,912,874,878.43,48553336
20210502,852.12,866,852,852.12,44203443
20210503,828.9,851,827,831.22,35707965
20210505,822.71,857,823,840.51,40483459
20210508,833.55,850,816,818.84,52957987
20210509,794.85,809,795,794.85,60932105
20210510,782.46,842,782,825.81,77986157
20210511,845.93,874,829,856.76,62731280
20210512,866.83,878,831,848.25,62219409
20210515,818.07,874,817,851.35,35548778
20210516,832.77,863,833,842.06,30192098
20210517,835.09,844,800,816.52,29278539
20210518,800.27,831,797,817.29,31419611
20210519,820.39,822,786,797.17,33177607
20210522,789.43,793,758,761.57,52468249
20210523,736.03,756,726,735.25,37668810
20210524,712.81,757,713,736.03,33399412
20210525,736.8,764,737,753.05,26366242
20210526,746.86,765,743,752.28,21775912
20210529,748.41,789,748,787.11,58872678
20210530,822.71,826,789,816.52,79426221
20210531,801.04,824,782,799.49,42250430
20210601,778.59,806,772,784.79,28473539
20210602,774.73,804,768,791.75,51464552
20210607,803.36,810,784,797.17,38483367
20210608,804.14,830,782,803.36,48732426
20210609,782.46,793,774,780.92,24227401
20210612,775.5,791,758,770.86,25409067
20210613,760.02,781,758,769.31,26800926
20210614,782.46,807,779,797.17,53692807
20210615,811.87,820,782,799.49,34089250
20210616,779.37,804,775,787.88,28490797
20210619,797.17,827,789,819.61,60322130
20210620,859.86,860,851,859.86,205695635
20210621,861.41,902,851,886.17,192152618
20210622,895.46,920,877,897.01,89538197
20210623,901.65,941,875,923.32,148665701
20210626,968.99,969,944,968.21,224809251
20210627,1016.2,1016,1016,1016.2,42900547
20210628,1066.5,1067,1045,1062.63,477105679
20210629,1055.67,1072,1025,1045.61,142174972
20210630,1036.32,1097,1016,1071.15,176032943
20210703,1095.14,1095,1018,1045.61,138799609
20210704,1006.14,1059,1000,1028.58,87815281
20210705,1016.97,1034,999,1015.42,101612845
20210706,1065.73,1066,1053,1064.18,281920695
20210707,1067.28,1078,1035,1054.12,86065983
20210710,1046.38,1047,1008,1019.29,70741183
20210711,979.05,1024,972,1001.49,214903992
20210712,1019.29,1028,983,1004.59,130348005
20210713,991.43,1012,958,980.6,124169265
20210714,961.25,994,957,978.27,120698641
20210717,996.08,1001,958,974.4,120451891
20210718,956.6,1022,956,998.4,249173089
20210719,1027.03,1032,995,1008.46,135069626
20210726,1010.01,1026,992,1003.04,99109915
20210727,1003.04,1003,954,965.12,120555980
20210728,951.19,980,940,954.28,91557225
20210731,951.19,1000,950,982.92,118014896
20210801,994.53,997,962,975.95,69665255
20210802,967.44,986,964,973.63,65650441
20210803,976.73,1018,975,1003.04,113549700
20210804,1006.91,1053,1007,1044.83,255047784
20210807,1060.31,1071,1015,1036.32,123349176
20210808,1023.94,1056,1024,1040.19,86618659
20210809,1030.13,1072,1030,1054.9,103101136
20210810,1060.31,1080,1044,1058.77,133843150
20210811,1077.34,1111,1069,1109.85,448320900
20210814,1129.97,1134,1076,1110.62,246200993
20210815,1112.17,1158,1088,1141.58,161653540
20210822,1136.93,1161,1097,1123.78,259854354
20210823,1122.23,1132,1091,1111.39,145717885
20210824,1109.07,1145,1097,1125.32,134960826
20210825,1129.97,1134,1092,1108.3,179644945
20210828,1109.85,1145,1110,1130.74,156505636
20210829,1144.67,1174,1084,1131.52,243207823
20210830,1082.76,1121,1075,1082.76,113625881
20210831,1029.35,1070,1029,1037.87,224096874
20210901,1021.62,1060,1011,1040.19,113640455
20210904,1060.31,1068,1026,1043.29,122826597
20210905,1037.09,1043,1008,1020.84,135317342
20210906,1013.1,1037,997,1014.65,140559039
20210907,1000.72,1013,991,1002.27,106856335
20210908,1006.14,1052,1005,1041.74,229587860
20210911,1059.54,1080,1027,1051.03,112458233
20210912,1038.64,1041,999,1005.36,134219010
20210913,998.4,1022,967,993.75,76932006
20210914,996.85,1026,997,1011.55,70994700
20210915,1010.78,1011,978,991.43,90270557
20210918,1006.14,1021,969,996.08,123529535
20210919,999.94,1019,972,996.08,114685691
20210920,1016.2,1019,995,1003.81,69226423
20210921,1000.72,1005,954,962.8,115275085
20210922,967.44,978,930,954.28,93379022
20210925,976.73,998,970,986.01,74946067
20210926,995.3,998,960,974.4,54585215
20210928,974.4,994,960,969.76,49817707
20210929,961.25,995,960,979.05,65611416
20211002,990.66,1024,984,1008.46,84338414
20211003,1006.14,1015,992,1005.36,76158000
20211004,1006.14,1025,1003,1016.2,43827789
20211006,1016.2,1022,1004,1007.68,55051327
20211009,1022.39,1035,999,1016.2,120979142
20211010,1006.91,1014,998,1006.14,60005323
20211011,1016.2,1025,995,1005.36,56385931
20211012,998.4,998,956,962.8,98011403
20211013,957.38,975,932,946.54,66485175
20211016,970.53,994,971,992.98,54786346
20211017,1013.88,1021,997,1006.14,203521730
20211106,1103.73,1104,1063,1090.77,252271761
20211107,1078.68,1086,1036,1051.05,284848620
20211108,1046.73,1066,1026,1039.82,158012209
20211109,1032.05,1064,1027,1042.41,108512002
