date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-12-30 00:00:00,60790.70277381866,61212.86043197018,58173.325293279246,59608.66133099441,414446114900,5870601,6202,60672.49862953623,59448.241420896826
2021-01-02 00:00:00,57920.030698388335,59439.7982677338,56628.22826444468,57067.272228922266,563413074850,8335507,7778,59608.66133099441,56628.22826444468
2021-01-03 00:00:00,55733.254029163465,59912.6148448635,55733.254029163465,59718.4223221138,1046257863360,14791720,8815,57067.272228922266,59912.6148448635
2021-01-04 00:00:00,61212.86043197018,62496.21971275079,59912.6148448635,61457.711873698056,523715328650,7194539,8819,59718.4223221138,60790.70277381866
2021-01-05 00:00:00,61381.723495230784,61381.723495230784,58392.847275518034,58975.42484376713,415290074780,5945437,7603,61457.711873698056,58392.847275518034
2021-01-06 00:00:00,56991.283850455,59270.93520447319,56070.98015568468,57177.03322004166,586587134290,8662339,8532,58975.42484376713,58215.5410590944
2021-01-09 00:00:00,57413.44150860651,59270.93520447319,56366.490516390746,57464.10042758469,352009245610,5172057,6055,57177.03322004166,57996.019076855606
2021-01-10 00:00:00,58274.64313123561,59667.76340313562,57202.36267953075,57962.24646420348,304529649350,4435840,5120,57464.10042758469,57582.30457186712
2021-01-11 00:00:00,57616.07718451924,59085.18583488652,56062.53700252165,57067.272228922266,288513918200,4268653,5452,57962.24646420348,56315.831597412565
2021-01-12 00:00:00,56028.76438986953,56889.96601249863,54221.92961298103,54466.78105470891,195294050480,3027450,3139,57067.272228922266,54221.92961298103
2021-01-13 00:00:00,51748.085736213136,53191.86492709132,51748.085736213136,51857.84672733253,527711167750,8591414,6300,54466.78105470891,51748.085736213136
2021-01-16 00:00:00,49265.79870628221,49814.60366187918,49265.79870628221,49274.24185944523,105459205200,1807081,1420,51857.84672733253,49265.79870628221
2021-01-18 00:00:00,46817.28428900339,46817.28428900339,46817.28428900339,48151.302488762194,41144731750,742015,537,49274.24185944523,46817.28428900339
2021-01-19 00:00:00,45745.00383729854,49797.71735555312,45745.00383729854,46639.97807257976,1023858083140,18534688,10558,48151.302488762194,46420.45609034097
2021-01-20 00:00:00,45685.90176515733,48970.28834557614,45685.90176515733,48362.38131783796,431261867300,7528854,5083,46639.97807257976,48970.28834557614
2021-01-23 00:00:00,50777.12312246464,50777.12312246464,50042.568797281,50768.67996930161,177806597470,2957258,1771,48362.38131783796,50777.12312246464
2021-01-24 00:00:00,53301.62591821072,53301.62591821072,48235.7340203925,50591.373752877975,685612592750,11442029,8637,50768.67996930161,48649.44852538098
2021-01-25 00:00:00,48556.573840587655,50557.60114022585,48066.87095713189,48691.66429119614,508215173920,8812634,6193,50591.373752877975,48100.64356978401
2021-01-26 00:00:00,47822.01951540401,49375.5596974016,46260.03618024339,46876.38636114461,209977123370,3782149,3421,48691.66429119614,46260.03618024339
2021-01-27 00:00:00,45593.027080364,47703.81537112159,44537.6329349852,45795.66275627672,362786990600,6688394,4582,46876.38636114461,46504.88762197128
2021-01-30 00:00:00,47762.9174432628,48083.75726345796,46715.96645104703,47982.43942550159,261194867280,4595718,3175,45795.66275627672,48083.75726345796
2021-01-31 00:00:00,49308.01447209736,49308.01447209736,46251.593027080366,47180.339875013706,229923501430,4114413,3984,47982.43942550159,46479.55816248218
2021-02-01 00:00:00,46015.18473851551,48294.83609253371,45913.86690055914,46800.397982677336,208062296990,3753334,3536,47180.339875013706,46260.03618024339
2021-02-02 00:00:00,46437.34239666703,47205.6693345028,44681.16653875671,45922.310053722176,140088901580,2575459,2716,46800.397982677336,46606.20545992764
2021-02-03 00:00:00,46834.17059532946,47281.65771297007,43634.21554654095,44166.13419581186,274624997940,5249727,4138,45922.310053722176,43634.21554654095
2021-02-06 00:00:00,43608.886087051855,43904.39644775792,41962.47122026094,42224.20896831487,198668191500,3972832,1759,44166.13419581186,41962.47122026094
2021-02-07 00:00:00,42241.09527464094,44334.99725907247,42241.09527464094,43946.61221357307,139083805370,2671951,1460,42224.20896831487,44334.99725907247
2021-02-08 00:00:00,44394.09933121368,45584.58392720096,42730.798158096695,44292.78149325732,260570295080,4967467,3639,43946.61221357307,44259.00888060519
2021-02-09 00:00:00,44292.78149325732,46015.18473851551,43017.86536563973,44942.904286810655,199247818720,3742942,3283,44292.78149325732,44917.574827321565
2021-02-13 00:00:00,46488.00131564521,47636.27014581734,46268.47933340642,47442.07762306764,223773683300,3982252,2398,44942.904286810655,47636.27014581734
2021-02-14 00:00:00,49223.58294046705,49223.58294046705,46496.44446880824,47450.52077623068,275594204690,4903762,3640,47442.07762306764,46606.20545992764
2021-02-15 00:00:00,46504.88762197128,48007.76888499068,46504.88762197128,46741.29591053612,122700454000,2216406,2088,47450.52077623068,46504.88762197128
2021-02-16 00:00:00,47104.35149654643,47112.79464970946,45812.54906260278,45846.321675254905,109360442170,2014022,1151,46741.29591053612,45820.992215765815
2021-02-17 00:00:00,45593.027080364,46943.93158644885,44934.46113364762,45111.76735007126,141445786550,2647276,2263,45846.321675254905,44942.904286810655
2021-02-20 00:00:00,44259.00888060519,45331.28933231005,44216.793114790045,44233.6794211161,114801359870,2191298,1763,45111.76735007126,44216.793114790045
2021-02-21 00:00:00,43355.591492160944,43380.920951650034,43355.591492160944,43836.85122245368,43814292610,853217,773,44233.6794211161,43355.591492160944
2021-02-22 00:00:00,42967.20644666155,42967.20644666155,42967.20644666155,43541.340861747616,32081361340,630406,547,43836.85122245368,42967.20644666155
2021-02-23 00:00:00,42671.69608595548,44326.55410590944,42671.69608595548,43195.17158206337,164652980660,3218676,3101,43541.340861747616,44242.122574279136
2021-02-24 00:00:00,44630.50761977853,44630.50761977853,42342.4131125973,43203.6147352264,109834874550,2146486,2621,43195.17158206337,42933.43383400943
2021-02-27 00:00:00,42713.91185177064,42806.78653656397,42342.4131125973,42359.299418923365,144605399420,2882468,2301,43203.6147352264,42342.4131125973
2021-02-28 00:00:00,41523.42725578336,42342.4131125973,41514.98410262033,41590.9724810876,90838488770,1846089,1532,42359.299418923365,41514.98410262033
2021-03-01 00:00:00,40797.31608376274,42215.76581515185,40797.31608376274,41650.07455322881,127914466920,2592956,2614,41590.9724810876,41776.721850674265
2021-03-02 00:00:00,41785.1650038373,43693.31761868216,41785.1650038373,42426.8446442276,89140517890,1770622,1967,41650.07455322881,42756.127617585786
2021-03-03 00:00:00,43060.081131454885,43651.10185286701,41776.721850674265,42198.87950882578,64798442740,1299909,1929,42426.8446442276,41979.357526587
2021-03-06 00:00:00,41709.176625370026,42384.628878412455,41472.76833680517,41954.02806709791,132913249620,2674800,2154,42198.87950882578,42089.11851770639
2021-03-07 00:00:00,41970.91437342396,43684.87446551913,41970.91437342396,42840.55914921609,108836138490,2145098,2248,41954.02806709791,43651.10185286701
2021-03-08 00:00:00,43803.07860980155,45407.27771077732,43794.63545663853,45145.539962723386,224508688590,4198913,3035,42840.55914921609,45407.27771077732
